student_id,student_name,grade,school_name,reading_score,math_score,school_type
127008367,Sarah Douglas,11th,Chang High School,87.2,64.1,Public
33365505,Francisco Osborne,9th,Fisher High School,,,Public
44359500,Ryan Haas,12th,Campbell High School,91.6,54.7,Public
24791243,Kathryn Mack,11th,Richard High School,68.9,73.3,Charter
121467881,Harold Reynolds,12th,Chang High School,68.7,43.4,Public
79397676,Kyle Brooks,9th,Turner High School,72.6,55.4,Public
30610923,Brooke Dixon,10th,Fisher High School,,70,Public
52477762,Tracy Flores,9th,Fisher High School,72,67.3,Public
67245222,Tina Roberts,12th,Bowers High School,87.5,81.5,Public
101335836,Shane Smith,9th,Silva High School,63.2,79.1,Public
67723113,Jeffrey Smith,9th,Chang High School,84.4,83.8,Public
127402895,Samuel Williams,11th,Turner High School,91.6,54.9,Public
108623169,Mary Peterson,9th,Fisher High School,75.9,58.1,Public
14959464,Thomas Barker,12th,Turner High School,77.9,74.2,Public
85422645,Jeffery Barker,10th,Fisher High School,87.9,60.1,Public
18624164,Tanya Hess,11th,Fisher High School,74.4,48.2,Public
31738082,Beth Thompson,11th,Bowers High School,83.6,45.6,Public
54161788,Michael Manning,12th,Campbell High School,66.7,61,Public
99443144,Michael Page,10th,Turner High School,92.8,66,Public
62396312,Kathryn King,11th,Turner High School,77.7,,Public
67539158,Nancy Smith,11th,Chang High School,75.3,67.9,Public
115921184,Aaron Walsh,9th,Turner High School,97.6,82.9,Public
109078836,Jennifer Smith,12th,Montgomery High School,53.9,84.4,Public
33130581,Jerome Ferguson,9th,Campbell High School,82.1,62.7,Public
25205042,Samuel Moore,10th,Campos High School,87.3,66,Public
14805042,Maria Ward,9th,Odonnell High School,,75.5,Public
17581253,Allison Wilson,9th,Green High School,79.9,57.2,Public
59392840,Cassandra Smith,11th,Richard High School,81.2,64,Charter
69886443,Elizabeth Rodriguez,10th,Turner High School,,61.9,Public
11894438,Paul Lowery,11th,Turner High School,80.2,35.6,Public
15353072,Karen Phillips,11th,Chang High School,68.2,95.9,Public
118950673,Katie Caldwell,10th,Montgomery High School,71.4,51.5,Public
92993235,Sean Douglas,11th,Turner High School,85.9,56.6,Public
123816168,Johnny Adams,12th,Turner High School,76,44.4,Public
31644820,Lori Schmidt,9th,Richard High School,79.9,62.4,Charter
103970998,Mark Kerr,11th,Turner High School,82.8,,Public
23709896,Matthew Cardenas,9th,Turner High School,82,80.5,Public
11237600,Phillip Smith,11th,Fisher High School,,43.5,Public
83635382,Terry Zamora,10th,Fisher High School,57.8,70.5,Public
31054313,Olivia Dennis,10th,Richard High School,,70.7,Charter
65097346,Joy Page,9th,Campos High School,99.5,51.3,Public
45733921,James Taylor,11th,Wagner High School,75.6,66.4,Public
119485435,Cynthia Coleman,11th,Green High School,52.5,70.4,Public
109980791,Eric Stewart,9th,Campos High School,81.6,34.4,Public
49213764,Ronald Garcia,9th,Richard High School,66.9,50.5,Charter
22349998,David Alexander,9th,Fisher High School,73.8,56.6,Public
92745771,Andre Mcmillan,10th,Fisher High School,76.2,41,Public
23027442,Tara Wells,10th,Campbell High School,95.2,80.2,Public
42718619,Kelly Rodriguez,11th,Richard High School,87,68.8,Charter
29482625,Kimberly Warner,12th,Campos High School,90.9,74.4,Public
60644626,Lori Cannon,12th,Bowers High School,72.8,64.8,Public
92259005,Gregory Gallegos,11th,Green High School,62.1,37.9,Public
96567308,Holly Fuentes,10th,Sullivan High School,87.3,47.8,Public
55308906,Lisa Hess,11th,Turner High School,57.6,88.6,Public
70925814,Karen Brooks,10th,Montgomery High School,58.8,35.4,Public
49703876,Zachary Bates,11th,Turner High School,80.7,57.3,Public
17585615,Kimberly Ramirez,12th,Campbell High School,,66.8,Public
74054969,Jonathan Clark,12th,Bowers High School,86.1,96.5,Public
41935613,Patricia Branch,10th,Richard High School,56.1,37.9,Charter
73506230,Heather Ferguson,12th,Turner High School,70.5,,Public
117713837,Lisa Wells,11th,Bowers High School,82.7,56.5,Public
15684482,Sandra Hays,11th,Fisher High School,73.4,53.6,Public
22549824,Jo Compton,11th,Turner High School,91.3,71.1,Public
81743234,Kimberly Ramirez,11th,Turner High School,92.6,75.2,Public
100520192,Ryan Ballard,12th,Richard High School,76.2,81.9,Charter
76250910,Rebecca Gonzalez,12th,Turner High School,72.9,66.1,Public
129659086,Jacob Robertson,12th,Campbell High School,74.1,62.7,Public
99054465,Kathryn Smith,11th,Richard High School,86.4,58.4,Charter
85357697,Jennifer Jacobs,9th,Fisher High School,83.2,69,Public
25352380,Danielle Preston,9th,Fisher High School,94.6,84.3,Public
90620500,Charles Soto,12th,Turner High School,69.8,56.9,Public
33739089,Heidi White,10th,Campbell High School,87.5,73.5,Public
47528765,William Lopez,12th,Chang High School,60.7,45.3,Public
80074276,Patrick Ortega,12th,Green High School,65.2,39.5,Public
114349686,Megan Smith,12th,Fisher High School,95.6,51.6,Public
118930774,Billy Clark,11th,Richard High School,64.8,71.6,Charter
